symbol,spectrum,n_levels,phi_rank,phi_mean_dev,best_base,best_mean_dev,error
H,H I,106,2,0.7682,sqrt2,0.6687,
He,He I,843,2,0.7641,sqrt2,0.6661,
Li,Li I,97,2,0.6406,sqrt2,0.4630,
Na,Na I,408,2,0.6881,sqrt2,0.5404,
K,K I,263,2,0.6824,sqrt2,0.5312,
Mg,Mg I,263,2,0.7102,sqrt2,0.5631,
Ca,Ca I,766,2,0.7466,sqrt2,0.6314,
Ba,Ba I,312,2,0.7414,sqrt2,0.6216,
C,C I,406,4,215.1215,pi,19.6774,
N,N I,289,2,0.5765,sqrt2,0.3416,
O,O I,344,4,34.8466,pi,3.0298,
Si,Si I,530,4,32.7351,pi,2.6005,
Fe,Fe I,846,1,0.4399,phi,0.4399,
Cu,Cu I,360,2,0.5002,sqrt2,0.3246,
Zn,Zn I,324,2,0.7256,sqrt2,0.5919,
Rb,Rb I,170,2,0.6914,sqrt2,0.5451,
Cs,Cs I,179,2,0.7073,sqrt2,0.5664,
Al,Al I,153,4,54.7495,pi,15.2758,
